Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       84    0.001    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3390(__init__)
      364    0.001    0.000    0.009    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:423(_simple)
   131/65    0.001    0.000    0.008    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3365(<listcomp>)
        1    0.001    0.001    0.067    0.067 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:26(<module>)
      399    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:168(__setitem__)
        6    0.001    0.000    0.002    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:521(<listcomp>)
       82    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3719(__init__)
        1    0.001    0.001    0.488    0.488 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\__init__.py:2(<module>)
   101/75    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:461(_get_literal_prefix)
      471    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\copyreg.py:94(__newobj__)
    61/11    0.001    0.000    0.010    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3288(leaveWhitespace)
      222    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       90    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      291    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\typing.py:696(__setattr__)
      107    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:185(cb)
        9    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:221(<setcomp>)
       24    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\packaging\version.py:217(__init__)
      219    0.000    0.000    0.001    0.000 {built-in method builtins.all}
       80    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
       12    0.000    0.000    0.009    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2653(__init__)
       76    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:948(__and__)
       44    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:413(<listcomp>)
       69    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2412(__init__)
       80    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
       60    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:267(getuntil)
       76    0.000    0.000    0.043    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:598(_code)
       22    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2813(parseImpl)
      107    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:58(__init__)
      175    0.000    0.000    0.008    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:334(__call__)
       44    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:411(_mk_bitmap)
       26    0.000    0.000    0.011    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\traceback.py:200(extract_stack)
       11    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
        3    0.000    0.000    0.004    0.001 {built-in method io.open}
      306    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:878(__exit__)
      404    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      454    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:81(groups)
    123/2    0.000    0.000    0.494    0.247 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
  112/108    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:372(__init__)
