Fri Mar 26 19:53:42 2021    output.dat

         137168 function calls (132854 primitive calls) in 0.646 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       94    0.002    0.000    0.082    0.001 <frozen importlib._bootstrap_external>:1309(_get_spec)
       94    0.000    0.000    0.083    0.001 <frozen importlib._bootstrap_external>:1341(find_spec)
       94    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:4890(<genexpr>)
       94    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       91    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:22(_is_dunder)
       91    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:33(_is_sunder)
       91    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:44(_is_private)
       91    0.002    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:88(__setitem__)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       90    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
       90    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
       89    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
    87/79    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3576(__str__)
       86    0.002    0.000    0.142    0.002 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\re.py:289(_compile)
       84    0.001    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3390(__init__)
       83    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\six.py:141(__init__)
       83    0.000    0.000    0.003    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1821(__add__)
       82    0.001    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3719(__init__)
       81    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       80    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
       80    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
       80    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
       80    0.000    0.000    0.142    0.002 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\re.py:250(compile)
       80    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       78    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\traceback.py:243(__init__)
       78    0.000    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\linecache.py:26(getline)
       78    0.000    0.000    0.004    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\linecache.py:36(getlines)
       78    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\linecache.py:147(lazycache)
       78    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:2052(leaveWhitespace)
    77/62    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:3434(__str__)
       77    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       76    0.000    0.000    0.001    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\enum.py:948(__and__)
       76    0.001    0.000    0.005    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:536(_compile_info)
       76    0.000    0.000    0.043    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:598(_code)
       76    0.001    0.000    0.138    0.002 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_compile.py:759(compile)
       76    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:76(__init__)
       76    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:224(__init__)
       76    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:921(fix_flags)
       76    0.001    0.000    0.093    0.001 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\sre_parse.py:937(parse)
       76    0.000    0.000    0.000    0.000 C:\Users\KJ\AppData\Local\Programs\Python\Python39\lib\site-packages\pkg_resources\_vendor\pyparsing.py:1351(preParse)
       76    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       76    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
